mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,570398_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110201_0,110200_0,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,144,104.4
All Vehicles - StL All Vehicles Sample Trip Counts,110244_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110171_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110200_0,0: All Days (Mo-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,45,14.5
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110189_1,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,27,8.7
All Vehicles - StL All Vehicles Sample Trip Counts,110205_1,110200_0,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,11,7.975
All Vehicles - StL All Vehicles Sample Trip Counts,110198_1,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,43204_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,13,9.425
All Vehicles - StL All Vehicles Sample Trip Counts,110075_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,14,4.5111111111111111
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110214_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110192_0,110200_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,7,8.12
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110196_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,22,15.95
All Vehicles - StL All Vehicles Sample Trip Counts,110087_0,110200_0,1: Weekday (Tu-Th),2: Peak AM (6am-9am),3. Dec-Feb,22,15.95
All Vehicles - StL All Vehicles Sample Trip Counts,110189_1,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,19,6.1222222222222218
All Vehicles - StL All Vehicles Sample Trip Counts,110101_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,24,7.7333333333333334
